run;iterations;problem;ants;OptSolution;totaltime
 10; 50; 7; 2048; 16463; 0.27618
 10; 50; 7; 2048; 16451; 0.27704
 10; 50; 7; 2048; 16469; 0.27716
 10; 50; 7; 2048; 16474; 0.27736
 10; 50; 7; 4096; 16486; 0.28666
 10; 50; 7; 4096; 16464; 0.28814
 10; 50; 7; 4096; 16483; 0.28829
 10; 50; 7; 4096; 16501; 0.28696
 10; 50; 7; 4096; 16497; 0.28698
 10; 50; 7; 4096; 16519; 0.28656
 10; 50; 7; 4096; 16442; 0.28619
 10; 50; 7; 4096; 16473; 0.28592
 10; 50; 7; 4096; 16489; 0.28694
 10; 50; 7; 4096; 16459; 0.28820
 10; 50; 7; 8192; 16471; 0.35944
 10; 50; 7; 8192; 16463; 0.35867
 10; 50; 7; 8192; 16499; 0.35731
 10; 50; 7; 8192; 16515; 0.35772
 10; 50; 7; 8192; 16499; 0.35526
 10; 50; 7; 8192; 16494; 0.35820
 10; 50; 7; 8192; 16499; 0.35727
 10; 50; 7; 8192; 16471; 0.35887
 10; 50; 7; 8192; 16521; 0.35670
 10; 50; 7; 8192; 16500; 0.35940
