run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ; 
 0; 15; 4; 8192; 0.00016; 0.00268; 0.00011; 0.00309;  0.27241; 0.00322;  0.00322; 0.00006 ;  3123.038426 ; 4.160807 ;
 1; 15; 4; 8192; 0.00011; 0.00171; 0.00010; 0.00310;  0.27269; 0.00327;  0.00327; 0.00004 ;  3060.316180 ; 4.164613 ;
 2; 15; 4; 8192; 0.00012; 0.00156; 0.00010; 0.00310;  0.27252; 0.00329;  0.00329; 0.00009 ;  3055.667328 ; 4.159567 ;
 3; 15; 4; 8192; 0.00013; 0.00280; 0.00011; 0.00315;  0.27408; 0.00340;  0.00340; 0.00003 ;  3061.916146 ; 4.195576 ;
 4; 15; 4; 8192; 0.00012; 0.00495; 0.00010; 0.00312;  0.27409; 0.00324;  0.00324; 0.00004 ;  3096.424213 ; 4.186138 ;
 0; 15; 5; 1024; 0.00256; 0.00152; 0.00007; 0.00304;  0.06867; 0.00026;  0.00026; 0.00006 ;  17857.517593 ; 1.241395 ;
 1; 15; 5; 1024; 0.00008; 0.00079; 0.00005; 0.00207;  0.06650; 0.00025;  0.00025; 0.00002 ;  17946.915741 ; 1.007548 ;
 2; 15; 5; 1024; 0.00007; 0.00076; 0.00006; 0.00208;  0.06652; 0.00025;  0.00025; 0.00003 ;  17698.158594 ; 1.007659 ;
 3; 15; 5; 1024; 0.00007; 0.00078; 0.00005; 0.00207;  0.06625; 0.00025;  0.00025; 0.00003 ;  17742.686398 ; 1.003656 ;
 4; 15; 5; 1024; 0.00007; 0.00077; 0.00005; 0.00207;  0.06650; 0.00025;  0.00025; 0.00005 ;  17734.003441 ; 1.007399 ;
 0; 15; 5; 2048; 0.00007; 0.00077; 0.00005; 0.00207;  0.06680; 0.00046;  0.00046; 0.00002 ;  17539.884696 ; 1.016881 ;
 1; 15; 5; 2048; 0.00008; 0.00076; 0.00005; 0.00207;  0.06680; 0.00046;  0.00046; 0.00002 ;  17731.215981 ; 1.017010 ;
 2; 15; 5; 2048; 0.00008; 0.00079; 0.00005; 0.00207;  0.06705; 0.00046;  0.00046; 0.00002 ;  17848.227763 ; 1.020593 ;
 3; 15; 5; 2048; 0.00008; 0.00076; 0.00005; 0.00208;  0.06726; 0.00047;  0.00047; 0.00002 ;  17932.498822 ; 1.024094 ;
 4; 15; 5; 2048; 0.00008; 0.00075; 0.00005; 0.00208;  0.06739; 0.00046;  0.00046; 0.00002 ;  17471.888289 ; 1.025826 ;
 0; 15; 5; 4096; 0.00009; 0.00078; 0.00005; 0.00208;  0.07440; 0.00090;  0.00090; 0.00005 ;  17466.847362 ; 1.141011 ;
 1; 15; 5; 4096; 0.00009; 0.00076; 0.00005; 0.00208;  0.07433; 0.00090;  0.00090; 0.00002 ;  17382.168962 ; 1.140143 ;
 2; 15; 5; 4096; 0.00009; 0.00076; 0.00005; 0.00208;  0.07431; 0.00090;  0.00090; 0.00002 ;  17516.816075 ; 1.139443 ;
 3; 15; 5; 4096; 0.00009; 0.00074; 0.00005; 0.00208;  0.07423; 0.00090;  0.00090; 0.00002 ;  17821.542578 ; 1.138387 ;
