run, iterations, problem, colony size, Setup rand Kernel, read map, Distance Kernel, Iroulete , Route , Pheromone, Best Check,  Copy Data,Fitness ,Total Time,,
0,,,,,,,,,,,,,,total,1.8376906
0,15,4,1024,0.00261,0.00307,0.00013,0.00439,0.13083,0.00045,0.00045,8E-05,3151.839913,2.138639,rand,0.000586
1,15,4,1024,8E-05,0.00165,0.0001,0.00305,0.12736,0.00046,0.00046,5E-05,3186.600989,1.927329,read,0.001982
2,15,4,1024,8E-05,0.0019,0.00035,0.00305,0.12713,0.00054,0.00054,7E-05,3167.641052,1.92537,dist,0.000156
3,15,4,1024,8E-05,0.00168,0.0001,0.00305,0.12771,0.00045,0.00045,5E-05,3168.909888,1.932742,roulete,0.003342
4,15,4,1024,8E-05,0.00161,0.0001,0.00317,0.12763,0.00044,0.00044,4E-05,3194.629352,1.930915,route,0.128132
0,,,,,,,,,,,,,,phero,0.000468
0,,,,,,,,,,,,,,check,0.000468
0,,,,,,,,,,,,,,cpy,5.8E-05
0,,,,,,,,,,,,,,total,1.970999
0,15,4,2048,0.0001,0.00161,0.0001,0.00305,0.12807,0.00086,0.00086,0.00022,3105.076026,1.945813,rand,9.4E-05
1,15,4,2048,0.0001,0.00155,0.00011,0.00306,0.12873,0.00083,0.00083,8E-05,3121.490121,1.955175,read,0.001574
2,15,4,2048,9E-05,0.00154,0.0001,0.00305,0.12838,0.00095,0.00095,7E-05,3119.836545,1.952498,dist,0.000102
3,15,4,2048,9E-05,0.00155,0.0001,0.0031,0.12936,0.00105,0.00105,7E-05,3162.472327,1.967805,roulete,0.003066
4,15,4,2048,9E-05,0.00162,0.0001,0.00307,0.12917,0.00084,0.00084,7E-05,3186.7417,1.962012,route,0.128742
0,,,,,,,,,,,,,,phero,0.000906
0,,,,,,,,,,,,,,check,0.000906
0,,,,,,,,,,,,,,cpy,0.000102
0,,,,,,,,,,,,,,total,1.9566606
0,15,4,4096,0.0001,0.00156,0.0001,0.00307,0.15488,0.00173,0.00173,3E-05,3170.85079,2.364766,rand,0.000156
1,15,4,4096,0.0001,0.00185,0.0001,0.00307,0.15507,0.00164,0.00164,7E-05,3151.070127,2.366746,read,0.001674
2,15,4,4096,0.00011,0.0016,0.0001,0.00307,0.15522,0.0018,0.0018,3E-05,3053.996118,2.370245,dist,0.0001
3,15,4,4096,0.00037,0.00182,0.0001,0.00308,0.15491,0.00162,0.00162,3E-05,3186.22077,2.363124,roulete,0.003074
4,15,4,4096,0.0001,0.00154,0.0001,0.00308,0.15491,0.00163,0.00163,7E-05,3147.482694,2.362838,route,0.154998
0,,,,,,,,,,,,,,phero,0.001684
0,,,,,,,,,,,,,,check,0.001684
0,,,,,,,,,,,,,,cpy,4.6E-05
0,,,,,,,,,,,,,,total,2.3655438
0,15,4,8192,0.00016,0.00268,0.00011,0.00309,0.27241,0.00322,0.00322,6E-05,3123.038426,4.160807,rand,0.000128
1,15,4,8192,0.00011,0.00171,0.0001,0.0031,0.27269,0.00327,0.00327,4E-05,3060.31618,4.164613,read,0.00274
2,15,4,8192,0.00012,0.00156,0.0001,0.0031,0.27252,0.00329,0.00329,9E-05,3055.667328,4.159567,dist,0.000104
3,15,4,8192,0.00013,0.0028,0.00011,0.00315,0.27408,0.0034,0.0034,3E-05,3061.916146,4.195576,roulete,0.003112
4,15,4,8192,0.00012,0.00495,0.0001,0.00312,0.27409,0.00324,0.00324,4E-05,3096.424213,4.186138,route,0.273158
0,,,,,,,,,,,,,,phero,0.003284
0,,,,,,,,,,,,,,check,0.003284
0,,,,,,,,,,,,,,cpy,5.2E-05
0,,,,,,,,,,,,,,total,4.1733402
0,15,5,1024,0.00256,0.00152,7E-05,0.00304,0.06867,0.00026,0.00026,6E-05,17857.517593,1.241395,rand,0.00057
