run;iterations;problem;ants;OptSolution;totaltime
 10; 50; 7; 4096; 16487; 0.65608
 10; 50; 7; 4096; 16473; 0.65585
 10; 50; 7; 4096; 16537; 0.65647
 10; 50; 7; 4096; 16488; 0.65764
 10; 50; 7; 4096; 16473; 0.65983
 10; 50; 7; 4096; 16482; 0.64976
 10; 50; 7; 4096; 16468; 0.65796
 10; 50; 7; 4096; 16456; 0.65554
 10; 50; 7; 4096; 16499; 0.65287
 10; 50; 7; 8192; 16498; 0.90543
 10; 50; 7; 8192; 16506; 0.89849
 10; 50; 7; 8192; 16494; 0.90358
 10; 50; 7; 8192; 16505; 0.90261
 10; 50; 7; 8192; 16483; 0.90640
 10; 50; 7; 8192; 16476; 0.90337
 10; 50; 7; 8192; 16469; 0.90235
 10; 50; 7; 8192; 16507; 0.89782
 10; 50; 7; 8192; 16490; 0.90430
 10; 50; 7; 8192; 16478; 0.90542
