Ants;Problem;itemtypes;itemcount;Time;packingtimeperiteration;OptSolution;

8192; 1; 166; 201; 1.6521, 1.67279;  66;
8192; 1; 166; 201; 1.6750, 1.69718;  66;
8192; 1; 166; 201; 1.6550, 1.67583;  66;
8192; 1; 166; 201; 1.6526, 1.67340;  66;
1024; 2; 358; 402; 3.8493, 3.86584;  134;
1024; 2; 358; 402; 3.8489, 3.86542;  134;
1024; 2; 358; 402; 3.8493, 3.86595;  134;
1024; 2; 358; 402; 3.8455, 3.86156;  134;
1024; 2; 358; 402; 3.8489, 3.86535;  134;
1024; 2; 358; 402; 3.8518, 3.86797;  134;
1024; 2; 358; 402; 3.8429, 3.85927;  134;
1024; 2; 358; 402; 3.8462, 3.86270;  134;
1024; 2; 358; 402; 3.8501, 3.86628;  134;
1024; 2; 358; 402; 3.8533, 3.86981;  134;
2048; 2; 358; 402; 4.6956, 4.71941;  134;
2048; 2; 358; 402; 4.6959, 4.71974;  134;
2048; 2; 358; 402; 4.6992, 4.72301;  134;
2048; 2; 358; 402; 4.6942, 4.71745;  134;
2048; 2; 358; 402; 4.7020, 4.72527;  134;
2048; 2; 358; 402; 4.7044, 4.72783;  134;
2048; 2; 358; 402; 4.7010, 4.72439;  134;
2048; 2; 358; 402; 4.7011, 4.72494;  134;
2048; 2; 358; 402; 4.7032, 4.72694;  134;
2048; 2; 358; 402; 4.7106, 4.73457;  134;
4096; 2; 358; 402; 5.6047, 5.63849;  134;
4096; 2; 358; 402; 5.6355, 5.66982;  134;
4096; 2; 358; 402; 5.6575, 5.69239;  134;
4096; 2; 358; 402; 5.6908, 5.72772;  133;
4096; 2; 358; 402; 5.6248, 5.65875;  134;
4096; 2; 358; 402; 5.6023, 5.63414;  134;
4096; 2; 358; 402; 5.6662, 5.70003;  134;
4096; 2; 358; 402; 5.6679, 5.70150;  134;
4096; 2; 358; 402; 5.6871, 5.72169;  134;
4096; 2; 358; 402; 5.6201, 5.65203;  134;
8192; 2; 358; 402; 7.3035, 7.34623;  134;
8192; 2; 358; 402; 7.3008, 7.34342;  133;
8192; 2; 358; 402; 7.3206, 7.36398;  134;
8192; 2; 358; 402; 7.3224, 7.36587;  133;
8192; 2; 358; 402; 7.3020, 7.34438;  134;
8192; 2; 358; 402; 7.3333, 7.37680;  134;
8192; 2; 358; 402; 7.4315, 7.47657;  134;
8192; 2; 358; 402; 7.3330, 7.37537;  134;
8192; 2; 358; 402; 7.3413, 7.38417;  134;
8192; 2; 358; 402; 7.3904, 7.43580;  133;
1024; 3; 522; 600; 8.5036, 8.52839;  200;
1024; 3; 522; 600; 8.5033, 8.52718;  200;
1024; 3; 522; 600; 8.4929, 8.51719;  200;
1024; 3; 522; 600; 8.4966, 8.52059;  200;
